Tax Year,County,Income Class,Number of Returns,NY AGI Total ($),NYS Tax Liability Total ($)
2011,Brooklyn,"$200,000 or more",34254,11343557693.99,163376118.0
2011,Brooklyn,"$30,000 - $39,999",104329,3861183654.75,142938198.38
2011,Brooklyn,"$40,000 - $49,999",82698,3637176027.85,155914782.52
2011,Brooklyn,"$5,000 - $9,999",62681,492727698.25,17053747.82
2011,Brooklyn,"$50,000 - $74,999",135106,8751781654.86,337703282.75
2011,Brooklyn,"$75,000 - $99,999",77945,6496478900.33,248752523.37
2011,Brooklyn,"Under $5,000",66048,174329866.5,4388495.85
2011,Broome,"$10,000 - $19,999",14937,202590444.77,7463950.07
2011,Broome,"$100,000 - $199,999",6833,1132943713.26,25596138.36
2011,Broome,"$20,000 - $29,999",12729,331143101.42,11082351.11
2011,Broome,"$200,000 or more",3288,1027898733.44,14461930.59
2011,Broome,"$30,000 - $39,999",11515,404245358.72,14252712.98
2011,Broome,"$40,000 - $49,999",9231,420629412.12,16385400.54
2011,Broome,"$5,000 - $9,999",7530,50666619.02,1986781.0
2011,Broome,"$50,000 - $74,999",13841,809552765.23,31430367.08
2011,Broome,"$75,000 - $99,999",7973,696827535.16,25727170.62
2011,Broome,"Under $5,000",8094,21479407.96,615980.4
2011,Cayuga,"$10,000 - $19,999",5861,86977692.97,2983277.51
2011,Cayuga,"$100,000 - $199,999",2484,357636734.0,9477053.1
2011,Cayuga,"$20,000 - $29,999",5025,116886378.85,4885334.99
2011,Cayuga,"$200,000 or more",1093,329730681.74,5031865.46
2011,Cayuga,"$30,000 - $39,999",4258,145230493.53,5944644.87
2011,Cayuga,"$40,000 - $49,999",3534,166471490.47,6506572.78
2011,Cayuga,"$5,000 - $9,999",2740,20518344.0,647960.06
2011,Cayuga,"$50,000 - $74,999",5231,305317526.71,12067905.21
2011,Cayuga,"$75,000 - $99,999",2806,243208961.93,8403315.97
2011,Cayuga,"Under $5,000",3082,7670071.38,236520.53
2011,Chemung,"$10,000 - $19,999",6602,90224282.39,3402522.39
2011,Chemung,"$100,000 - $199,999",2582,428266597.12,10057753.31
2011,Chemung,"$20,000 - $29,999",5680,135058534.09,4693017.82
2011,Chemung,"$200,000 or more",1235,380810771.28,5538250.33
2011,Chemung,"$30,000 - $39,999",4984,159901131.09,6649875.14
2011,Chemung,"$40,000 - $49,999",4055,182633225.38,7406274.78
2011,Chemung,"$5,000 - $9,999",3171,24062908.1,757643.51
2011,Chemung,"$50,000 - $74,999",6573,408318147.91,16188238.94
2011,Chemung,"$75,000 - $99,999",2936,250952987.11,9207830.33
2011,Chemung,"Under $5,000",3389,9420449.4,235185.4
2011,Cortland,"$10,000 - $19,999",3548,53072028.17,1771010.28
2011,Cortland,"$100,000 - $199,999",1446,224225228.92,4635582.21
2011,Cortland,"$20,000 - $29,999",3144,78620921.63,2465007.45
2011,Cortland,"$200,000 or more",754,219677407.62,3037286.95
2011,Cortland,"$30,000 - $39,999",2590,95968154.37,2920751.6
2011,Cortland,"$40,000 - $49,999",2141,102340629.13,3419449.24
2011,Cortland,"$5,000 - $9,999",1985,14171174.39,427383.03
2011,Cortland,"$50,000 - $74,999",3330,204727206.06,7568995.4
2011,Cortland,"$75,000 - $99,999",1840,159286856.84,5348769.78
2011,Cortland,"Under $5,000",1899,4768949.29,117407.53
2011,Dutchess,"$10,000 - $19,999",16661,244358774.61,9986605.61
2011,Dutchess,"$100,000 - $199,999",12142,1828035377.55,51081296.09
2011,Dutchess,"$20,000 - $29,999",17159,424890998.61,18087647.83
2011,Dutchess,"$200,000 or more",6065,1871067460.38,32483383.13
2011,Dutchess,"$30,000 - $39,999",16631,569694690.74,25927303.84
2011,Dutchess,"$40,000 - $49,999",14228,596943074.74,36109123.24
2011,Dutchess,"$5,000 - $9,999",8139,63676421.45,2296061.08
2011,Dutchess,"$50,000 - $74,999",23636,1429860851.16,63500622.95
2011,Dutchess,"$75,000 - $99,999",13381,1148690351.86,48594282.67
2011,Dutchess,"Under $5,000",8156,20039191.39,690513.42
2011,Erie,"$10,000 - $19,999",67122,1018447897.67,35040225.42
2011,Erie,"$100,000 - $199,999",35258,5329601492.97,135070110.11
2011,Erie,"$20,000 - $29,999",56202,1368824397.95,55359857.67
2011,Erie,"$200,000 or more",15507,4883143733.29,80590742.76
2011,Erie,"$30,000 - $39,999",50355,1721420149.94,75982644.11
2011,Erie,"$40,000 - $49,999",41978,1960146437.76,79082491.48
2011,Erie,"$5,000 - $9,999",30996,219932577.99,8524532.87
2011,Erie,"$50,000 - $74,999",67077,3955732620.18,174002626.83
2011,Erie,"$75,000 - $99,999",37571,3141962893.6,113749327.51
2011,Erie,"Under $5,000",32604,79631113.28,2660262.74
2011,"Grand Total, Full-Year Resident",All Classes,6668390,428347660575.26,17155300437.51
2011,Hamilton,"$10,000 - $19,999",370,5771358.32,142512.44
2011,Hamilton,"$100,000 - $199,999",199,29671455.26,620726.26
2011,Hamilton,"$20,000 - $29,999",339,9658768.09,252052.29
2011,Hamilton,"$200,000 or more",97,29103586.45,366986.23
2011,Hamilton,"$30,000 - $39,999",333,11230353.16,350721.39
2011,Hamilton,"$40,000 - $49,999",253,12230390.31,346460.75
2011,Hamilton,"$5,000 - $9,999",204,1575158.1,39613.08
2011,Hamilton,"$50,000 - $74,999",399,24959137.7,792217.98
2011,Hamilton,"$75,000 - $99,999",217,17844809.09,496785.15
2011,Hamilton,"Under $5,000",204,487035.29,12011.04
2011,Madison,"$10,000 - $19,999",5482,83361626.22,2759828.14
2011,Madison,"$100,000 - $199,999",2181,333517961.54,8873501.75
2011,Madison,"$20,000 - $29,999",4248,106778762.51,3669444.36
2011,Madison,"$200,000 or more",1137,339959091.96,5128563.89
2011,Madison,"$30,000 - $39,999",3575,130867160.78,4778108.78
2011,Madison,"$40,000 - $49,999",2928,136580501.81,5304576.69
2011,Madison,"$5,000 - $9,999",2468,19016468.67,600986.76
2011,Madison,"$50,000 - $74,999",4966,314497434.19,11252959.33
2011,Madison,"$75,000 - $99,999",2757,233012895.87,8146970.66
2011,Madison,"Under $5,000",2581,6739150.81,189091.36
2011,Manhattan,"$10,000 - $19,999",42980,662388925.58,52204085.44
2011,Manhattan,"$100,000 - $199,999",122541,18637222373.55,1047133417.3
2011,Manhattan,"$20,000 - $29,999",48916,1235437378.81,93726993.78
2011,Manhattan,"$200,000 or more",72274,23537341410.68,743474310.83
2011,Manhattan,"$30,000 - $39,999",59360,2167019178.12,166286559.73
2011,Manhattan,"$40,000 - $49,999",69405,2879180576.13,291624839.04
2011,Manhattan,"$5,000 - $9,999",15415,117381848.81,8079657.1
2011,Manhattan,"$50,000 - $74,999",140578,8728644589.63,792559093.45
2011,Manhattan,"$75,000 - $99,999",104724,8550754354.54,749724077.17
2011,Manhattan,"Under $5,000",12947,33231498.04,2260150.52
2011,Monroe,"$10,000 - $19,999",44867,718454758.33,25279889.4
2011,Monroe,"$100,000 - $199,999",28069,4396023587.99,107454791.11
2011,Monroe,"$20,000 - $29,999",45082,1147057695.6,40002848.39
2011,Monroe,"$200,000 or more",14558,4193179879.71,72356375.5
2011,Monroe,"$30,000 - $39,999",40875,1464734408.07,56030826.37
2011,Monroe,"$40,000 - $49,999",33535,1411581708.68,72282710.34
2011,Monroe,"$5,000 - $9,999",21520,159899876.76,5948162.85
2011,Monroe,"$50,000 - $74,999",55895,3661095262.04,149869856.04
2011,Monroe,"$75,000 - $99,999",31146,2680015930.15,97506506.82
2011,Monroe,"Under $5,000",22973,62095260.89,1754825.03
2011,NYS Unclassified +,All Classes,1355,35932733.03,1410920.53
2011,Nassau,"$10,000 - $19,999",60156,886352638.92,52283401.58
2011,Nassau,"$100,000 - $199,999",77303,12310396795.11,497930021.37
2011,Nassau,"$20,000 - $29,999",61966,1446748606.79,97267138.66
2011,Nassau,"$200,000 or more",43840,12568211342.05,341882507.89
2011,Nassau,"$30,000 - $39,999",66540,2236920546.88,138639974.16
2011,Nassau,"$40,000 - $49,999",62523,2727379678.76,189807884.73
2011,Nassau,"$5,000 - $9,999",26953,199580096.85,11282304.57
2011,Nassau,"$50,000 - $74,999",114496,6764934487.4,459123689.43
2011,Nassau,"$75,000 - $99,999",74130,6630631320.0,367465365.3
2011,Nassau,"Under $5,000",23341,59315624.73,2566471.71
2011,Onondaga,"$10,000 - $19,999",32696,503580873.57,17649406.63
2011,Onondaga,"$100,000 - $199,999",18402,2573987300.57,76329542.23
2011,Onondaga,"$20,000 - $29,999",28594,728487787.63,26863714.3
2011,Onondaga,"$200,000 or more",9573,2736966530.51,44966953.45
2011,Onondaga,"$30,000 - $39,999",27022,1040437768.89,37355451.21
2011,Onondaga,"$40,000 - $49,999",21895,1027942442.33,45825270.43
2011,Onondaga,"$5,000 - $9,999",15782,108962571.82,4580626.45
2011,Onondaga,"$50,000 - $74,999",38106,2331792569.73,102368216.74
2011,Onondaga,"$75,000 - $99,999",20656,1882861799.41,65268442.7
2011,Onondaga,"Under $5,000",16800,41888519.59,1427935.39
2011,Orange,"$10,000 - $19,999",21624,314951325.53,12509679.4
2011,Orange,"$100,000 - $199,999",12899,1905164331.09,47842511.24
2011,Orange,"$20,000 - $29,999",19214,470489816.03,20273773.19
2011,Orange,"$200,000 or more",6852,2015868088.9,37458346.79
2011,Orange,"$30,000 - $39,999",19312,721212901.7,28374663.76
2011,Orange,"$40,000 - $49,999",15821,717660218.11,35055682.07
2011,Orange,"$5,000 - $9,999",10965,78751874.59,3072647.45
2011,Orange,"$50,000 - $74,999",26421,1760768493.45,78868507.1
2011,Orange,"$75,000 - $99,999",14971,1342736259.72,50098153.59
2011,Orange,"Under $5,000",10026,24640066.95,804203.29
2011,Queens,"$10,000 - $19,999",96724,1465020289.3,62413892.84
2011,Queens,"$100,000 - $199,999",66267,9612966860.21,285390872.43
2011,Queens,"$20,000 - $29,999",95830,2536271105.21,110228601.03
2011,Queens,"$200,000 or more",34589,9475490871.64,192329125.83
2011,Queens,"$30,000 - $39,999",93916,3301023964.33,151287081.09
2011,Queens,"$40,000 - $49,999",79591,3817788047.61,162380712.87
2011,Queens,"$5,000 - $9,999",50255,378723812.68,15009749.64
2011,Queens,"$50,000 - $74,999",123015,7643340867.95,363085220.14
2011,Queens,"$75,000 - $99,999",69611,5985256986.47,286474123.59
2011,Queens,"Under $5,000",47882,118357962.28,4299640.42
2011,Residence Unknown ++,All Classes,450,8866785.44,292269.42
2011,Rockland,"$10,000 - $19,999",14683,218798556.23,11602005.9
2011,Rockland,"$100,000 - $199,999",13329,1872391800.31,70452583.92
2011,Rockland,"$20,000 - $29,999",14524,407764498.08,17976223.07
2011,Rockland,"$200,000 or more",7683,2170947399.0,49075377.29
2011,Rockland,"$30,000 - $39,999",14815,567265369.87,27611786.36
2011,Rockland,"$40,000 - $49,999",13280,569073763.73,35017535.53
2011,Rockland,"$5,000 - $9,999",6309,40483984.84,2493230.73
2011,Rockland,"$50,000 - $74,999",23594,1485719081.54,84714270.69
2011,Rockland,"$75,000 - $99,999",14485,1177941201.45,65116421.49
2011,Rockland,"Under $5,000",5930,13348297.6,660855.41
2011,Schuyler,"$10,000 - $19,999",1521,22109385.8,689326.06
2011,Schuyler,"$100,000 - $199,999",629,93542729.5,2261908.13
2011,Schuyler,"$20,000 - $29,999",1317,32469913.61,1009458.99
2011,Schuyler,"$200,000 or more",272,86556393.76,1090277.78
2011,Schuyler,"$30,000 - $39,999",1079,38607659.23,1245635.14
2011,Schuyler,"$40,000 - $49,999",876,38738528.28,1446636.44
2011,Schuyler,"$5,000 - $9,999",809,6150582.02,190787.34
2011,Schuyler,"$50,000 - $74,999",1265,79961211.3,2954228.76
2011,Schuyler,"$75,000 - $99,999",683,64716409.69,1992386.26
2011,Schuyler,"Under $5,000",790,1922262.12,49965.63
2011,Seneca,"$10,000 - $19,999",2542,38713504.75,1154229.21
2011,Seneca,"$100,000 - $199,999",947,144304762.97,3295639.33
2011,Seneca,"$20,000 - $29,999",2175,59162210.12,1642235.66
2011,Seneca,"$200,000 or more",489,155238229.84,2060450.26
2011,Seneca,"$30,000 - $39,999",1911,70675434.57,2251111.47
2011,Seneca,"$40,000 - $49,999",1575,67215916.16,2791388.88
2011,Seneca,"$5,000 - $9,999",1264,9671015.29,264832.21
2011,Seneca,"$50,000 - $74,999",2355,153161564.02,5618320.24
2011,Seneca,"$75,000 - $99,999",1282,117293439.0,3375103.6
2011,Seneca,"Under $5,000",1338,3410462.74,89962.23
2011,Staten Island,"$10,000 - $19,999",22589,322414816.51,14343651.58
2011,Staten Island,"$100,000 - $199,999",16227,2603944856.13,70146787.64
2011,Staten Island,"$20,000 - $29,999",23245,571650182.81,24062732.4
2011,Staten Island,"$200,000 or more",8080,2285805896.06,41395543.28
2011,Staten Island,"$30,000 - $39,999",22624,858380001.49,32499203.46
2011,Staten Island,"$40,000 - $49,999",18521,878557836.23,40537615.46
2011,Staten Island,"$5,000 - $9,999",10832,75679097.54,3268939.01
2011,Staten Island,"$50,000 - $74,999",31473,1812123338.69,87824481.43
2011,Staten Island,"$75,000 - $99,999",18239,1707470486.01,63184631.88
2011,Staten Island,"Under $5,000",11525,30121870.71,996410.66
2011,Suffolk,"$10,000 - $19,999",82318,1163800944.48,56854391.95
2011,Suffolk,"$100,000 - $199,999",68062,9844373220.62,363603405.69
2011,Suffolk,"$20,000 - $29,999",89631,2183505882.56,110130893.69
2011,Suffolk,"$200,000 or more",36443,11710829663.48,213911341.44
2011,Suffolk,"$30,000 - $39,999",80076,2794832332.72,157907204.57
2011,Suffolk,"$40,000 - $49,999",72107,3544909050.82,176674252.23
2011,Suffolk,"$5,000 - $9,999",40675,282490388.27,13980374.31
2011,Suffolk,"$50,000 - $74,999",119304,7659033305.54,381942506.32
2011,Suffolk,"$75,000 - $99,999",77492,6478275148.19,316340699.11
2011,Suffolk,"Under $5,000",41310,101847791.16,4205581.91
2011,Tioga,"$10,000 - $19,999",3823,57059431.76,1990477.29
2011,Tioga,"$100,000 - $199,999",1616,230154980.87,5874535.78
2011,Tioga,"$20,000 - $29,999",3274,89595335.42,2968599.17
2011,Tioga,"$200,000 or more",722,210928452.88,3259007.26
2011,Tioga,"$30,000 - $39,999",2940,102097752.68,3839731.71
2011,Tioga,"$40,000 - $49,999",2235,99386822.65,3988137.42
2011,Tioga,"$5,000 - $9,999",2026,15866273.39,499947.63
2011,Tioga,"$50,000 - $74,999",3442,213293179.41,8215324.45
2011,Tioga,"$75,000 - $99,999",1795,147055746.66,5705908.21
2011,Tioga,"Under $5,000",1978,4947544.05,153378.82
2011,Tompkins,"$10,000 - $19,999",6575,91032064.55,3837633.91
2011,Tompkins,"$100,000 - $199,999",3399,516941788.7,14878806.8
2011,Tompkins,"$20,000 - $29,999",5559,130544178.25,5441630.28
2011,Tompkins,"$200,000 or more",1724,481926374.65,8228921.64
2011,Tompkins,"$30,000 - $39,999",5266,170128702.77,7592832.71
2011,Tompkins,"$40,000 - $49,999",4627,200109433.66,10121865.85
2011,Tompkins,"$5,000 - $9,999",3244,25976380.71,934409.69
2011,Tompkins,"$50,000 - $74,999",6696,427801250.71,17032616.56
2011,Tompkins,"$75,000 - $99,999",3712,333425349.4,10975100.16
2011,Tompkins,"Under $5,000",3212,8073431.03,248752.89
2011,Westchester,"$10,000 - $19,999",36078,504984275.43,29967206.49
2011,Westchester,"$100,000 - $199,999",57628,9314326082.88,377104198.27
2011,Westchester,"$20,000 - $29,999",43378,1063031473.66,59090780.73
2011,Westchester,"$200,000 or more",32556,10697611679.17,273789263.5
2011,Westchester,"$30,000 - $39,999",45563,1573460141.63,111255095.05
2011,Westchester,"$40,000 - $49,999",45104,1862240963.66,134037685.72
2011,Westchester,"$5,000 - $9,999",19002,132096009.11,8281736.97
2011,Westchester,"$50,000 - $74,999",83668,5447925589.07,336544894.99
2011,Westchester,"$75,000 - $99,999",57670,4779350191.75,291181406.94
2011,Westchester,"Under $5,000",15981,41127950.06,1932656.75
2011,Yates,"$10,000 - $19,999",1866,26900219.23,894779.78
2011,Yates,"$100,000 - $199,999",762,117660254.82,2509503.9
2011,Yates,"$20,000 - $29,999",1730,41145645.97,1567226.82
2011,Yates,"$200,000 or more",358,102575146.85,1530564.15
2011,Yates,"$30,000 - $39,999",1428,53109836.15,1694041.28
2011,Yates,"$40,000 - $49,999",1176,52281132.65,2155580.59
2011,Yates,"$5,000 - $9,999",1025,7362737.22,221882.71
2011,Yates,"$50,000 - $74,999",1713,103763831.37,4107679.5
2011,Yates,"$75,000 - $99,999",881,82732692.74,2500924.98
2011,Yates,"Under $5,000",1001,2776499.56,71450.25
2012,Albany,"$10,000 - $19,999",21273,318164422.77,13310135.96
2012,Albany,"$100,000 - $199,999",12509,1822273128.73,49046031.44
2012,Albany,"$20,000 - $29,999",18739,470446285.89,18833666.5
2012,Albany,"$200,000 or more",6831,2044531990.71,36877731.0
2012,Albany,"$30,000 - $39,999",17827,602680325.02,27106842.76
2012,Albany,"$40,000 - $49,999",15317,718508406.37,31912080.1
2012,Albany,"$5,000 - $9,999",9722,67841860.94,2733885.26
2012,Albany,"$50,000 - $74,999",28013,1637173382.53,78279919.11
2012,Albany,"$75,000 - $99,999",14664,1257256338.33,52341710.48
2012,Albany,"Under $5,000",10257,24413839.4,833621.15
2012,Bronx,"$10,000 - $19,999",87893,1291250116.44,36607086.38
2012,Bronx,"$100,000 - $199,999",24403,3418580635.63,69597660.63
2012,Bronx,"$20,000 - $29,999",76855,1954090614.7,50914413.98
2012,Bronx,"$200,000 or more",10456,3430614188.77,33630250.97
2012,Bronx,"$30,000 - $39,999",59396,2081075944.67,63908734.39
2012,Bronx,"$40,000 - $49,999",42944,2008702008.77,61175521.25
2012,Bronx,"$5,000 - $9,999",53836,408260206.92,10489070.58
2012,Bronx,"$50,000 - $74,999",65301,4218899225.21,118914355.2
2012,Bronx,"$75,000 - $99,999",30848,2721853541.18,71578861.78
2012,Bronx,"Under $5,000",56254,140003058.91,2985638.74
2012,Brooklyn,"$10,000 - $19,999",128818,2049700663.23,79357174.49
2012,Brooklyn,"$100,000 - $199,999",67345,9973762486.06,315041747.92
2012,Brooklyn,"$20,000 - $29,999",115740,2818550981.73,114640705.25
2012,Brooklyn,"$200,000 or more",35097,11277455106.5,180799056.46
2012,Brooklyn,"$30,000 - $39,999",107224,3473851406.04,154513405.63
2012,Brooklyn,"$40,000 - $49,999",84011,3654360347.43,179276692.36
2012,Brooklyn,"$5,000 - $9,999",67881,498899131.53,17935721.69
2012,Brooklyn,"$50,000 - $74,999",139917,9344607112.06,376458981.11
2012,Brooklyn,"$75,000 - $99,999",74554,6800620224.38,242673563.55
2012,Brooklyn,"Under $5,000",63120,157159175.46,5223820.27
2012,Broome,"$10,000 - $19,999",14331,207829810.61,8319784.59
2012,Broome,"$100,000 - $199,999",6396,890742438.12,22641239.94
2012,Broome,"$20,000 - $29,999",11975,305483164.54,11749837.91
2012,Broome,"$200,000 or more",3108,989581954.06,15018039.75
2012,Broome,"$30,000 - $39,999",11730,422323135.57,16355732.95
2012,Broome,"$40,000 - $49,999",9652,476105243.47,16714765.09
2012,Broome,"$5,000 - $9,999",7416,57903125.49,1813176.62
2012,Broome,"$50,000 - $74,999",13521,836530927.24,33283343.23
2012,Broome,"$75,000 - $99,999",7609,678424208.84,26628107.43
2012,Broome,"Under $5,000",7878,18566609.1,615539.5
2012,Cayuga,"$10,000 - $19,999",5865,85246627.71,2841420.15
2012,Cayuga,"$100,000 - $199,999",2392,342707547.86,8217090.12
2012,Cayuga,"$20,000 - $29,999",4819,114272336.81,3936264.88
2012,Cayuga,"$200,000 or more",1203,415332481.68,5278333.82
2012,Cayuga,"$30,000 - $39,999",4583,152186615.81,6079482.32
2012,Cayuga,"$40,000 - $49,999",3430,153240492.24,6170531.91
2012,Cayuga,"$5,000 - $9,999",3204,23113636.16,749563.34
2012,Cayuga,"$50,000 - $74,999",5264,309581637.59,13192448.5
2012,Cayuga,"$75,000 - $99,999",2920,266487878.26,9569476.71
2012,Cayuga,"Under $5,000",3125,7366295.98,208321.38
2012,Chemung,"$10,000 - $19,999",6078,97252454.27,3314290.72
2012,Chemung,"$100,000 - $199,999",2662,386545609.71,10763384.27
2012,Chemung,"$20,000 - $29,999",5598,152963795.29,5256706.26
2012,Chemung,"$200,000 or more",1236,344255713.19,5733632.81
2012,Chemung,"$30,000 - $39,999",4944,165703819.48,7104522.81
2012,Chemung,"$40,000 - $49,999",3615,162788083.85,6733313.28
2012,Chemung,"$5,000 - $9,999",3202,25220518.82,830376.06
2012,Chemung,"$50,000 - $74,999",5886,368082497.63,14352626.14
2012,Chemung,"$75,000 - $99,999",3175,276453531.53,10295542.29
2012,Chemung,"Under $5,000",3596,9352395.58,262992.75
2012,Cortland,"$10,000 - $19,999",3530,52038245.07,1919381.43
2012,Cortland,"$100,000 - $199,999",1523,228222786.23,5559803.56
2012,Cortland,"$20,000 - $29,999",3104,72249590.23,2548626.19
2012,Cortland,"$200,000 or more",784,227613506.33,3570376.82
2012,Cortland,"$30,000 - $39,999",2985,102290802.24,3813037.59
2012,Cortland,"$40,000 - $49,999",2207,99906669.39,3805238.72
2012,Cortland,"$5,000 - $9,999",1932,13991563.7,431798.34
2012,Cortland,"$50,000 - $74,999",3591,219998301.29,8527963.52
2012,Cortland,"$75,000 - $99,999",1754,151406589.32,4984037.6
2012,Cortland,"Under $5,000",2098,4987126.03,140434.88
2012,Dutchess,"$10,000 - $19,999",16740,252120046.83,10545877.81
2012,Dutchess,"$100,000 - $199,999",11851,1814560701.53,53393228.02
2012,Dutchess,"$20,000 - $29,999",17552,450235308.86,19634891.34
2012,Dutchess,"$200,000 or more",6364,1797718461.77,36403361.59
2012,Dutchess,"$30,000 - $39,999",15907,574767117.76,26503060.32
2012,Dutchess,"$40,000 - $49,999",14486,655706606.75,32126107.54
2012,Dutchess,"$5,000 - $9,999",8605,58721097.75,2645516.04
2012,Dutchess,"$50,000 - $74,999",24460,1384848996.4,67061350.56
2012,Dutchess,"$75,000 - $99,999",13364,1246453217.24,51780415.52
2012,Dutchess,"Under $5,000",8348,21028330.14,761923.5
2012,Erie,"$10,000 - $19,999",63764,1036949065.73,37067266.16
2012,Erie,"$100,000 - $199,999",35524,5113489272.81,134494302.75
2012,Erie,"$20,000 - $29,999",54643,1420371043.2,54042323.51
2012,Erie,"$200,000 or more",16590,4675752766.46,77772577.06
2012,Erie,"$30,000 - $39,999",55357,1965527072.53,77342213.07
2012,Erie,"$40,000 - $49,999",40515,1892729904.78,79048102.01
2012,Erie,"$5,000 - $9,999",30246,241058847.87,7939904.63
2012,Erie,"$50,000 - $74,999",70723,4275258521.79,188728802.45
2012,Erie,"$75,000 - $99,999",36329,3154526125.47,119484342.24
2012,Erie,"Under $5,000",33012,83505947.83,2427967.83
2012,"Grand Total, Full-Year Resident",All Classes,6724689,434496032652.6,17954616667.37
2012,Hamilton,"$10,000 - $19,999",401,6998866.93,173885.46
2012,Hamilton,"$100,000 - $199,999",200,33326549.39,577801.69
2012,Hamilton,"$20,000 - $29,999",353,8959964.95,269518.31
2012,Hamilton,"$200,000 or more",95,30061482.12,364547.31
2012,Hamilton,"$30,000 - $39,999",309,10357836.66,355616.9
2012,Hamilton,"$40,000 - $49,999",255,11711370.49,417296.52
2012,Hamilton,"$5,000 - $9,999",200,1495316.89,40305.92
2012,Hamilton,"$50,000 - $74,999",401,24422844.54,797723.95
2012,Hamilton,"$75,000 - $99,999",222,18513934.98,579676.28
2012,Hamilton,"Under $5,000",194,459613.39,10765.6
2012,Madison,"$10,000 - $19,999",4591,66875311.88,2513368.08
2012,Madison,"$100,000 - $199,999",2182,339133094.37,9563079.29
2012,Madison,"$20,000 - $29,999",4544,105294807.64,4430835.73
2012,Madison,"$200,000 or more",1083,332498405.87,4926595.42
2012,Madison,"$30,000 - $39,999",3761,145770162.08,4962769.09
2012,Madison,"$40,000 - $49,999",3146,134654549.23,5627737.4
2012,Madison,"$5,000 - $9,999",2817,21568987.17,797949.82
2012,Madison,"$50,000 - $74,999",5352,331233640.59,13672814.89
2012,Madison,"$75,000 - $99,999",2521,218292261.84,7659718.52
2012,Madison,"Under $5,000",2592,6152362.63,193364.0
2012,Manhattan,"$10,000 - $19,999",43957,702826995.89,54025618.84
2012,Manhattan,"$100,000 - $199,999",120090,18593733114.0,1138324602.86
2012,Manhattan,"$20,000 - $29,999",47210,1212787756.44,99056903.95
2012,Manhattan,"$200,000 or more",77452,24894077413.41,881210331.75
2012,Manhattan,"$30,000 - $39,999",60032,2135924882.19,180200920.39
2012,Manhattan,"$40,000 - $49,999",67121,2926252421.34,285843306.68
2012,Manhattan,"$5,000 - $9,999",16551,118351716.75,10137186.28
2012,Manhattan,"$50,000 - $74,999",122060,7792854277.3,660846519.53
2012,Manhattan,"$75,000 - $99,999",96008,7956992745.86,726755135.64
2012,Manhattan,"Under $5,000",12477,30562453.42,2139542.46
2012,Monroe,"$10,000 - $19,999",45814,645378639.62,28043060.66
2012,Monroe,"$100,000 - $199,999",27269,4191928481.19,117892548.35
2012,Monroe,"$20,000 - $29,999",43977,1090126333.35,39399397.94
2012,Monroe,"$200,000 or more",14536,4550324604.02,70804548.03
2012,Monroe,"$30,000 - $39,999",39950,1498231489.45,61002729.38
2012,Monroe,"$40,000 - $49,999",33144,1621900574.09,66244439.58
2012,Monroe,"$5,000 - $9,999",23123,174408341.6,6105667.16
2012,Monroe,"$50,000 - $74,999",58667,3800589129.57,155073193.73
2012,Monroe,"$75,000 - $99,999",32625,2689741804.68,113128020.07
2012,Monroe,"Under $5,000",22715,58862399.7,1760944.75
2012,NYS Unclassified +,All Classes,2159,61558073.77,2034104.46
2012,Nassau,"$10,000 - $19,999",58462,907573772.65,55377504.23
2012,Nassau,"$100,000 - $199,999",77539,11445676479.93,501956073.68
2012,Nassau,"$20,000 - $29,999",61651,1679928931.99,108135944.49
2012,Nassau,"$200,000 or more",43646,13097195956.38,377551702.75
2012,Nassau,"$30,000 - $39,999",69114,2439755587.64,173966582.75
2012,Nassau,"$40,000 - $49,999",63108,2823854333.39,202201858.56
2012,Nassau,"$5,000 - $9,999",24617,187010212.43,11594042.68
2012,Nassau,"$50,000 - $74,999",124600,8397683258.76,526617142.88
2012,Nassau,"$75,000 - $99,999",76867,7059242074.47,429741800.39
2012,Nassau,"Under $5,000",22499,57273705.22,2946916.55
2012,Onondaga,"$10,000 - $19,999",31791,503482889.17,17020378.48
2012,Onondaga,"$100,000 - $199,999",19241,3258466943.33,77338938.56
2012,Onondaga,"$20,000 - $29,999",28382,687995289.39,27835987.11
2012,Onondaga,"$200,000 or more",9099,2620437478.9,45987112.75
2012,Onondaga,"$30,000 - $39,999",27401,1007509046.53,40528202.66
2012,Onondaga,"$40,000 - $49,999",21782,1006940015.19,49138783.79
2012,Onondaga,"$5,000 - $9,999",14602,109223122.34,3980537.93
2012,Onondaga,"$50,000 - $74,999",37009,2311671620.52,94409851.32
2012,Onondaga,"$75,000 - $99,999",20483,1764261088.81,67635848.79
2012,Onondaga,"Under $5,000",16133,41109618.56,1230440.89
2012,Orange,"$10,000 - $19,999",22900,339071652.87,14276428.45
2012,Orange,"$100,000 - $199,999",12993,2015320965.6,58357536.36
2012,Orange,"$20,000 - $29,999",20441,540647928.44,22215237.65
2012,Orange,"$200,000 or more",6718,2056293894.89,40100434.57
2012,Orange,"$30,000 - $39,999",19410,646059828.49,31901615.84
2012,Orange,"$40,000 - $49,999",16621,717122347.63,40178940.87
2012,Orange,"$5,000 - $9,999",11247,81638600.48,3851598.95
2012,Orange,"$50,000 - $74,999",25862,1720816022.5,77229429.73
2012,Orange,"$75,000 - $99,999",14271,1253452522.44,54462413.95
2012,Orange,"Under $5,000",11011,27306248.29,1051038.03
2012,Queens,"$10,000 - $19,999",104149,1537364886.61,63615351.75
